pH,Turbidity_NTU,Temperature_C,TDS_mg_L,Water_Flow_L_min,Result
6.737317661519833,26.271934226179855,34.5931328637675,44818.14101562241,20.550856503190975,Abnormal
8.352369142763868,1.7597025362567429,28.354606901595115,37787.180855136605,45.17873934733414,Normal
6.86530876041112,14.382573558941491,35.129610813363755,51856.99287132848,26.82416555986081,Abnormal
7.8936442172092,4.529854528232902,24.893062119568945,41248.701977538825,52.527166395576415,Normal
8.426053179140874,0.8175593633019342,24.844451097704205,36435.97748337405,54.94907822646435,Normal
7.179511117509502,12.228110802900416,33.885594645116,47240.51109039533,32.25242587959521,Abnormal
7.801860738753915,23.39569211182703,33.55852382841396,44493.59405766206,29.72462899801983,Abnormal
7.882348130033553,0.8203489180710304,28.32778340071207,35177.70448962241,51.55241980639022,Normal
7.759640514943817,1.2039666920198873,30.32911086145624,35383.331471754216,48.54622157640777,Normal
7.740111674029496,34.1455540288305,30.620203007757322,51791.20295659594,16.756192303269582,Abnormal
8.266458062236836,0.9372942219684584,29.08003655871852,40520.18047857172,49.894249636431404,Normal
7.971223832838961,4.157598052658761,24.803857773174425,36444.94890232422,45.457420338125125,Normal
8.954596571392191,23.845056017809405,36.70651436083566,44277.74790784894,19.114843204938502,Abnormal
7.94878585737253,0.7070118890978874,28.43380598021708,38488.574409176355,54.4473202229141,Normal
6.633419334483214,11.503558565019631,31.494579564174703,47546.86096218974,31.14010907474767,Abnormal
9.394373657774906,34.81208755395938,35.085232005791035,44686.70749687824,27.639646566095614,Abnormal
8.338744794942556,22.03360379088309,34.59868609386998,47693.011201392306,22.308137000029546,Abnormal
8.186035881521152,4.505024038179048,29.690307063910545,39857.6391112697,45.37007634715493,Normal
7.842409313276397,26.68874748228676,32.06811344234194,44812.27403922377,16.86828813798799,Abnormal
8.048740275388631,19.924537926857084,32.288521314366555,47053.158810148714,34.70089915388979,Abnormal
6.831404458060146,30.688447389171856,35.35859029293777,50151.204508301715,17.144588888146757,Abnormal
7.3063812707026905,28.34035951403505,31.112357173685474,43312.03240053835,15.080577277152182,Abnormal
8.163545070113416,17.782692478900092,30.268984442736276,44782.87869483766,16.359789521046174,Abnormal
9.152456524039405,11.690314089805373,35.28529350122395,50714.613312988775,32.561332682146045,Abnormal
8.317016277348756,2.994593236301303,25.029514366503264,37424.421960561725,48.84326647159682,Normal
8.279315419645222,11.533740677766705,32.86933422787402,50244.16099157295,32.00786905372318,Abnormal
7.622229153302003,16.495330218625856,30.48270611449495,50482.36162947139,31.639428640613804,Abnormal
8.253516158154154,3.421446359522286,28.16947118425491,39222.06476626472,49.51387024329676,Normal
8.209128329011024,4.35420428534745,25.95013237322371,40249.723292794246,54.691026301408115,Normal
9.411776067513742,34.694638005372184,35.682388516630965,47848.316181574424,12.862190951647628,Abnormal
8.336576849472547,11.557294953251567,36.584754715807385,47218.91168918055,31.749228991192123,Abnormal
6.698398578252008,27.378613851189844,30.8966702245634,43949.26329960967,21.405912723888548,Abnormal
9.394692161375445,14.370965681510313,30.409856504707854,45342.58171809403,23.84278713395028,Abnormal
7.8811966201583505,2.7248913711616165,27.671579726991784,40598.98679163121,47.5980358106416,Normal
8.285595153449124,4.330115021825856,26.166693314004295,39393.956371499924,53.729458358764084,Normal
9.487168706198597,22.419171471479235,35.236512256006726,51182.98185275404,27.16474783731517,Abnormal
9.038949481796404,21.18006351262089,31.042216352327113,49739.43703266976,21.35004052990287,Abnormal
